 probe_i          92 probe_j          62
   0.0000000000000000        1.0202107439303598        3.9536790762622467E-002
   1.0000000000000000E-003   1.0205996571978029        4.0204911879058523E-002
   2.0000000000000000E-003   1.0206515179496847        4.0290066273507001E-002
   3.0000000000000001E-003   1.0206869955439768        4.0346906069825952E-002
   4.0000000000000001E-003   1.0207177513865417        4.0394774842386634E-002
   5.0000000000000001E-003   1.0207461379538176        4.0438145113955895E-002
   6.0000000000000001E-003   1.0207730728034194        4.0478914078164112E-002
   7.0000000000000001E-003   1.0207989887573463        4.0517985527061443E-002
   8.0000000000000002E-003   1.0208242045716895        4.0555881788380842E-002
   9.0000000000000011E-003   1.0208489142864217        4.0592896024943988E-002
   1.0000000000000002E-002   1.0208732468717425        4.0629217342024418E-002
   1.1000000000000003E-002   1.0208972871382893        4.0664973817752630E-002
   1.2000000000000004E-002   1.0209210904372630        4.0700256565290541E-002
   1.3000000000000005E-002   1.0209446954434918        4.0735136334767656E-002
   1.4000000000000005E-002   1.0209681294031612        4.0769665185391470E-002
   1.5000000000000006E-002   1.0209914125080732        4.0803884786497317E-002
   1.6000000000000007E-002   1.0210145593910505        4.0837826144852166E-002
   1.7000000000000008E-002   1.0210375822245070        4.0871515970617812E-002
   1.8000000000000009E-002   1.0210604908607992        4.0904974496467662E-002
   1.9000000000000010E-002   1.0210832928117368        4.0938216389578216E-002
   2.0000000000000011E-002   1.0211059950355155        4.0971255400569027E-002
   2.1000000000000012E-002   1.0211286027959736        4.1004101602990353E-002
   2.2000000000000013E-002   1.0211511203809749        4.1036762743808061E-002
   2.3000000000000013E-002   1.0211735522735703        4.1069247128110831E-002
   2.4000000000000014E-002   1.0211959014578857        4.1101560078911560E-002
   2.5000000000000015E-002   1.0212181711924397        4.1133706766473543E-002
   2.6000000000000016E-002   1.0212403633204623        4.1165690442816233E-002
   2.7000000000000017E-002   1.0212624807478203        4.1197516194696797E-002
   2.8000000000000018E-002   1.0212845245571835        4.1229186199742432E-002
   2.9000000000000019E-002   1.0213064959710250        4.1260702433133664E-002
   3.0000000000000020E-002   1.0213283971142277        4.1292069079738709E-002
   3.1000000000000021E-002   1.0213502283125648        4.1323287261063067E-002
   3.2000000000000021E-002   1.0213719911294625        4.1354359262101160E-002
   3.3000000000000022E-002   1.0213936860462216        4.1385286140139123E-002
   3.4000000000000023E-002   1.0214153146484097        4.1416070615801770E-002
   3.5000000000000024E-002   1.0214368770980327        4.1446713046570063E-002
   3.6000000000000025E-002   1.0214583741530199        4.1477214400237869E-002
   3.7000000000000026E-002   1.0214798069955044        4.1507576852734825E-002
   3.8000000000000027E-002   1.0215011758986567        4.1537801036026632E-002
   3.9000000000000028E-002   1.0215224812670642        4.1567887321900691E-002
   4.0000000000000029E-002   1.0215437244574526        4.1597837957598430E-002
   4.1000000000000029E-002   1.0215649058535128        4.1627653723847961E-002
   4.2000000000000030E-002   1.0215860259949570        4.1657335036319409E-002
   4.3000000000000031E-002   1.0216070858484279        4.1686883208083884E-002
   4.4000000000000032E-002   1.0216280857971907        4.1716298961248149E-002
   4.5000000000000033E-002   1.0216490267933165        4.1745583759149142E-002
   4.6000000000000034E-002   1.0216699087602024        4.1774737430806057E-002
   4.7000000000000035E-002   1.0216907326151878        4.1803761443380584E-002
   4.8000000000000036E-002   1.0217114992199894        4.1832657537285989E-002
   4.9000000000000037E-002   1.0217322085440828        4.1861425642519434E-002
   5.0000000000000037E-002   1.0217528616226981        4.1890067095688224E-002
   5.1000000000000038E-002   1.0217734593882559        4.1918583468149591E-002
   5.2000000000000039E-002   1.0217940018172693        4.1946974585235518E-002
   5.3000000000000040E-002   1.0218144899206594        4.1975241735396907E-002
   5.4000000000000041E-002   1.0218349245976306        4.2003386469941804E-002
   5.5000000000000042E-002   1.0218553057955160        4.2031408625119733E-002
   5.6000000000000043E-002   1.0218756345175628        4.2059309511869196E-002
   5.7000000000000044E-002   1.0218959116708688        4.2087090697401894E-002
   5.8000000000000045E-002   1.0219161377465225        4.2114752847005096E-002
   5.9000000000000045E-002   1.0219363133092647        4.2142296379898275E-002
   6.0000000000000046E-002   1.0219564393417391        4.2169722618624818E-002
   6.1000000000000047E-002   1.0219765162424375        4.2197032249170985E-002
   6.2000000000000048E-002   1.0219965449716444        4.2224226726078187E-002
   6.3000000000000042E-002   1.0220165254553346        4.2251305864119702E-002
   6.4000000000000043E-002   1.0220364586208319        4.2278271143200548E-002
   6.5000000000000044E-002   1.0220563453188309        4.2305124317200814E-002
   6.6000000000000045E-002   1.0220761860082344        4.2331866242995939E-002
   6.7000000000000046E-002   1.0220959812623254        4.2358497497513838E-002
   6.8000000000000047E-002   1.0221157315728915        4.2385018679368905E-002
   6.9000000000000047E-002   1.0221354378340646        4.2411431429051981E-002
   7.0000000000000048E-002   1.0221551004226408        4.2437736689943981E-002
   7.1000000000000049E-002   1.0221747198129030        4.2463935267736917E-002
   7.2000000000000050E-002   1.0221942970088207        4.2490028737535802E-002
   7.3000000000000051E-002   1.0222138324903789        4.2516017893311456E-002
   7.4000000000000052E-002   1.0222333262561696        4.2541902615108415E-002
   7.5000000000000053E-002   1.0222527797933914        4.2567685299835414E-002
   7.6000000000000054E-002   1.0222721929666092        4.2593366137746051E-002
   7.7000000000000055E-002   1.0222915668039576        4.2618946781768578E-002
   7.8000000000000055E-002   1.0223109018218628        4.2644428030911438E-002
   7.9000000000000056E-002   1.0223301985491910        4.2669810644410541E-002
   8.0000000000000057E-002   1.0223494580152939        4.2695096185621687E-002
   8.1000000000000058E-002   1.0223686801869207        4.2720284638262607E-002
   8.2000000000000059E-002   1.0223878660655072        4.2745377576809754E-002
   8.3000000000000060E-002   1.0224070160664767        4.2770375898087382E-002
   8.4000000000000061E-002   1.0224261306298266        4.2795280515171029E-002
   8.5000000000000062E-002   1.0224452107486242        4.2820093098149603E-002
   8.6000000000000063E-002   1.0224642569198716        4.2844814482110853E-002
   8.7000000000000063E-002   1.0224832691640344        4.2869444573200716E-002
   8.8000000000000064E-002   1.0225022489978497        4.2893985701673916E-002
   8.9000000000000065E-002   1.0225211962929905        4.2918437967048743E-002
   9.0000000000000066E-002   1.0225401120222479        4.2942803002057585E-002
   9.1000000000000067E-002   1.0225589961227088        4.2967080776158732E-002
   9.2000000000000068E-002   1.0225778500644824        4.2991273692296848E-002
   9.3000000000000069E-002   1.0225966732122180        4.3015381006285706E-002
   9.4000000000000070E-002   1.0226154670516123        4.3039405117503128E-002
   9.5000000000000070E-002   1.0226342319976036        4.3063346873482872E-002
   9.6000000000000071E-002   1.0226529679981988        4.3087206265132745E-002
   9.7000000000000072E-002   1.0226716765911821        4.3110985563905524E-002
   9.8000000000000073E-002   1.0226903571625112        4.3134683914118115E-002
   9.9000000000000074E-002   1.0227090111776942        4.3158303672612468E-002
  0.10000000000000007        1.0227276390245810        4.3181845651403837E-002
  0.10100000000000008        1.0227462406159953        4.3205309826370393E-002
  0.10200000000000008        1.0227648169425096        4.3228697657973235E-002
  0.10300000000000008        1.0227833684013550        4.3252009894090497E-002
